;def;genes;proportion;significant_area;#_cases;#_controls;pvalue_proportion;pvalue_significant_area;fdr_sig_area;fdr_proportion
765;SNV;NID2;0.3068;0.3088;31;440;0.00343597974930779;0.00739881422364282;0.0350729901210848;0.0133311551961779
1149;SNV;FMNL3;0.318;0.3088;27;444;0.00209539567670428;0.00739881422364282;0.0350729901210848;0.0115925825632482
2380;SNV;ZNF142;0.3157;0.3087;21;450;0.00232175371938408;0.00741745689144494;0.0350729901210848;0.0120630247594086
740;SNV;GPR179;0.3144;0.3086;31;440;0.00245978340774805;0.00743614266889763;0.0350729901210848;0.0121715990569728
1462;SNV;KIF16B;0.313;0.3086;25;446;0.00261713149743707;0.00743614266889763;0.0350729901210848;0.0123615499582502
2121;SNV;ADRA2A;0.3128;0.3086;21;450;0.0026403747846761;0.00743614266889763;0.0350729901210848;0.0123621652544634
1262;SNV;CLEC16A;0.3111;0.3085;26;445;0.00284600438389232;0.00745487164564027;0.0350729901210848;0.0126050951829911
196;SNV;PAPPA2;0.307;0.3084;47;424;0.00340614779446106;0.00747364391147356;0.0350729901210848;0.0132800868332169
1403;SNV;CABIN1;0.3127;0.3082;25;446;0.00265206974992647;0.00751131867042245;0.0350729901210848;0.0123621652544634
1502;SNV;PLXNA3;0.3083;0.3082;25;446;0.00321813073825135;0.00751131867042245;0.0350729901210848;0.0131027810296775
2307;SNV;SALL2;0.3172;0.3082;21;450;0.00217163676990342;0.00751131867042245;0.0350729901210848;0.0116633974833015
756;SNV;LRP6;0.3107;0.308;31;440;0.00289654803457723;0.00754916766738396;0.0350729901210848;0.0126790289425633
2017;SNV;MVK;0.3177;0.3079;22;449;0.00212368276405174;0.0075681577313412;0.0350729901210848;0.0116135067805398
1347;SNV;ROR2;0.3131;0.3078;26;445;0.00260558279368662;0.00758719162659276;0.0350729901210848;0.0123558390414901
1042;SNV;CNGB1;0.3093;0.3077;28;443;0.00308023184147607;0.00760626944407468;0.0350729901210848;0.012983532858585
531;SNV;PTPN13;0.3086;0.3075;35;436;0.00317615918789113;0.00764455721028942;0.0350729901210848;0.0130654396885711
788;SNV;SYNPO;0.3221;0.3075;31;440;0.00174300629696532;0.00764455721028942;0.0350729901210848;0.0109258897600216
457;SNV;ADAMTS18;0.3013;0.3073;36;435;0.00435999275990253;0.00768302176074008;0.0350729901210848;0.0149718142186308
1399;SNV;BLM;0.3042;0.3073;25;446;0.00384697127904351;0.00768302176074008;0.0350729901210848;0.0141016278480276
360;SNV;ACACA;0.3168;0.3072;39;432;0.00221073963136886;0.00770232055913115;0.0350729901210848;0.0117939011584187
411;SNV;PCNT;0.3163;0.3072;38;433;0.00226056008102655;0.00770232055913115;0.0350729901210848;0.0119003052723644
2018;SNV;MYO1B;0.3075;0.3071;22;449;0.00333263600125253;0.00772166382880216;0.0350729901210848;0.01320895529518
2310;SNV;SBNO2;0.3041;0.3068;21;450;0.00386367040272705;0.00777996138714511;0.0350729901210848;0.0141195294533909
454;SNV;ZNF518A;0.316;0.3067;37;434;0.00229096271499339;0.00779948346441079;0.0350729901210848;0.0119550237747472
519;SNV;LMO7;0.3132;0.3067;35;436;0.00259408246313495;0.00779948346441079;0.0350729901210848;0.0123558390414901
1703;SNV;TAS1R2;0.3098;0.3067;24;447;0.00301339913173061;0.00779948346441079;0.0350729901210848;0.0129068529118927
2256;SNV;OTOG;0.3004;0.3067;21;450;0.00453189046393949;0.00779948346441079;0.0350729901210848;0.0151924536782784
665;SNV;CTTNBP2;0.3136;0.3066;32;439;0.00254856109911235;0.00781905047501923;0.0350729901210848;0.0123558390414901
682;SNV;MGAT3;0.3137;0.3065;32;439;0.00253729981005544;0.00783866251187902;0.0350729901210848;0.0123558390414901
1038;SNV;CFAP43;0.3095;0.3065;28;443;0.00305333202500323;0.00783866251187902;0.0350729901210848;0.012983532858585
1226;SNV;YTHDC2;0.311;0.3065;27;444;0.00285856133438543;0.00783866251187902;0.0350729901210848;0.0126050951829911
2215;SNV;KIF5B;0.3127;0.3065;21;450;0.00265206974992647;0.00783866251187902;0.0350729901210848;0.0123621652544634
1240;SNV;AP2A2;0.3117;0.3064;26;445;0.00277175392482525;0.00785831966806462;0.0350729901210848;0.0125779966688989
1492;SNV;OCA2;0.3127;0.3064;25;446;0.00265206974992647;0.00785831966806462;0.0350729901210848;0.0123621652544634
883;SNV;PTPRB;0.3141;0.3063;30;441;0.00249272528587794;0.00787802203681667;0.0350729901210848;0.0122082242484596
2164;SNV;DNMBP;0.3143;0.3063;21;450;0.00247071782640257;0.00787802203681667;0.0350729901210848;0.0121752899074271
88;SNV;DOCK2;0.3109;0.3062;56;415;0.00287117078988498;0.00789776971154205;0.0350729901210848;0.0126373815613722
456;SNV;ABCA3;0.3167;0.3061;36;435;0.00222061944502095;0.00791756278581433;0.0350729901210848;0.0117939566080001
1370;SNV;UPF2;0.3167;0.3061;26;445;0.00222061944502095;0.00791756278581433;0.0350729901210848;0.0117939566080001
2159;SNV;DISC1;0.3134;0.3061;21;450;0.00257122616552677;0.00791756278581433;0.0350729901210848;0.0123558390414901
211;SNV;PKHD1;0.3075;0.306;46;425;0.00333263600125253;0.00793740135337379;0.0350729901210848;0.01320895529518
834;SNV;CROCC;0.3116;0.306;30;441;0.00278400009951779;0.00793740135337379;0.0350729901210848;0.0125779966688989
1460;SNV;KIAA1211;0.2983;0.3059;25;446;0.00495812797661401;0.00795728550812783;0.0350729901210848;0.0156537990278831
1922;SNV;ACTN1;0.3068;0.3059;22;449;0.00343597974930779;0.00795728550812783;0.0350729901210848;0.0133311551961779
461;SNV;ATP2B2;0.3134;0.3058;36;435;0.00257122616552677;0.00797721534415106;0.0350729901210848;0.0123558390414901
846;SNV;FER1L5;0.3098;0.3058;30;441;0.00301339913173061;0.00797721534415106;0.0350729901210848;0.0129068529118927
609;SNV;FAM179A;0.3172;0.3057;33;438;0.00217163676990342;0.00799719095568568;0.0350729901210848;0.0116633974833015
808;SNV;ACVR1B;0.3094;0.3057;30;441;0.00306675400105521;0.00799719095568568;0.0350729901210848;0.012983532858585
189;SNV;CHD4;0.3117;0.3056;47;424;0.00277175392482525;0.00801721243714158;0.0350729901210848;0.0125779966688989
608;SNV;ERBB3;0.311;0.3056;33;438;0.00285856133438543;0.00801721243714158;0.0350729901210848;0.0126050951829911
754;SNV;LILRB1;0.3099;0.3055;31;440;0.00300019846556477;0.00803727988309666;0.0350729901210848;0.0128965365696039
2162;SNV;DLGAP4;0.3013;0.3053;21;450;0.00435999275990253;0.00807755304765702;0.0350729901210848;0.0149718142186308
818;SNV;BTBD11;0.3064;0.3052;30;441;0.00349638641449152;0.00809775895626003;0.0350729901210848;0.0134563019816984
1433;SNV;EVPL;0.3052;0.3052;25;446;0.00368368662448622;0.00809775895626003;0.0350729901210848;0.0137777950430705
1434;SNV;FAM135A;0.3112;0.3052;25;446;0.00283349973463442;0.00809775895626003;0.0350729901210848;0.0125874802337849
87;SNV;TENM1;0.317;0.3051;57;414;0.00219110525245474;0.00811801120935818;0.0350729901210848;0.0117153054885164
949;SNV;HDLBP;0.3213;0.3051;29;442;0.00180699618054999;0.00811801120935818;0.0350729901210848;0.0110736432602935
1690;SNV;SKIDA1;0.3173;0.3051;24;447;0.00216196432894408;0.00811801120935818;0.0350729901210848;0.0116633974833015
2220;SNV;LIMK2;0.3134;0.3051;21;450;0.00257122616552677;0.00811801120935818;0.0350729901210848;0.0123558390414901
1245;SNV;AUTS2;0.3106;0.3049;26;445;0.00290931623490763;0.00815865513089413;0.0350729901210848;0.012688441243484
1765;SNV;CSF3R;0.311;0.3049;23;448;0.00285856133438543;0.00815865513089413;0.0350729901210848;0.0126050951829911
850;SNV;HECW2;0.3058;0.3048;30;441;0.00358888193820622;0.00817904699068286;0.0350729901210848;0.0136742937009013
1797;SNV;IQGAP2;0.3072;0.3048;23;448;0.00337656090965994;0.00817904699068286;0.0350729901210848;0.0132800868332169
606;SNV;DNAJC13;0.3126;0.3047;33;438;0.0026638138519032;0.00819948557766893;0.0350729901210848;0.0123621652544634
971;SNV;PCDHA4;0.3047;0.3047;29;442;0.00376449292269938;0.00819948557766893;0.0350729901210848;0.0139059321255819
1350;SNV;SCN8A;0.3055;0.3046;26;445;0.00363599232782387;0.00821997098795253;0.0350729901210848;0.0137283122646114
1340;SNV;PPP6R2;0.3187;0.3045;26;445;0.00203078006919612;0.00824050331780416;0.0350729901210848;0.011493425161661
801;SNV;ZFP36L2;0.2998;0.3043;31;440;0.0046500138494477;0.00828170912214651;0.0350729901210848;0.0152868405779643
193;SNV;DCHS1;0.3103;0.3042;47;424;0.00294794162986156;0.00830238279003193;0.0350729901210848;0.0127406518903601
1687;SNV;SHROOM3;0.3179;0.3041;24;447;0.00210478463763768;0.00832310376427525;0.0350729901210848;0.0116135067805398
368;SNV;DOCK8;0.313;0.304;39;432;0.00261713149743707;0.00834387214200209;0.0350729901210848;0.0123615499582502
533;SNV;RANBP2;0.3222;0.304;35;436;0.00173516113798605;0.00834387214200209;0.0350729901210848;0.0109132503152281
1816;SNV;MSH2;0.3081;0.304;23;448;0.00324640282533919;0.00834387214200209;0.0350729901210848;0.0131730097666565
48;SNV;COL6A3;0.3086;0.3039;67;404;0.00317615918789113;0.00836468802050977;0.0350729901210848;0.0130654396885711
715;SNV;SYCP2;0.3077;0.3039;32;439;0.00330365363750229;0.00836468802050977;0.0350729901210848;0.013195165671482
942;SNV;FBXO34;0.3205;0.3039;29;442;0.00187322089509714;0.00836468802050977;0.0350729901210848;0.0110767654692386
1863;SNV;QRICH2;0.3014;0.3039;23;448;0.00434127694166013;0.00836468802050977;0.0350729901210848;0.0149718142186308
2059;SNV;SEL1L3;0.3083;0.3039;22;449;0.00321813073825135;0.00836468802050977;0.0350729901210848;0.0131027810296775
254;SNV;PTEN;0.3145;0.3038;44;427;0.00244889495457321;0.00838555149726762;0.035089786952423;0.0121681059073388
187;SNV;CDH23;0.3087;0.3037;47;424;0.00316228419921927;0.00840646266991715;0.035089786952423;0.0130654396885711
542;SNV;ADAMTS2;0.3083;0.3036;34;437;0.00321813073825135;0.0084274216362723;0.035089786952423;0.0131027810296775
592;SNV;ZNF407;0.3155;0.3036;34;437;0.00234249910517112;0.0084274216362723;0.035089786952423;0.0120717767270697
124;SNV;SLITRK5;0.309;0.3035;52;419;0.00312100271532335;0.00844842849431967;0.0351160766981287;0.0130177949208077
615;SNV;ITSN1;0.3116;0.3031;33;438;0.00278400009951779;0.00853293680922062;0.0354057621077036;0.0125779966688989
1131;SNV;C9orf47;0.3077;0.3028;27;444;0.00330365363750229;0.00859682573528035;0.0355474282133565;0.013195165671482
1395;SNV;ATP1A4;0.3057;0.3028;25;446;0.00360452093371039;0.00859682573528035;0.0355474282133565;0.0136742937009013
1068;SNV;KLHDC7A;0.3142;0.3027;28;443;0.00248169839180628;0.00861821927518274;0.0355743420858147;0.0121791769125606
170;SNV;FN1;0.3043;0.3025;48;423;0.00383034031548073;0.00866115279885735;0.0356899227401191;0.0141016278480276
1328;SNV;OR7D2;0.3082;0.3023;26;445;0.00323223752691635;0.00870428224674433;0.0357380925199891;0.0131378362063437
924;SNV;C9orf84;0.305;0.3022;29;442;0.00371581052159991;0.00872592069257037;0.0357380925199891;0.0138114885639561
1912;SNV;ZC3H6;0.305;0.3022;23;448;0.00371581052159991;0.00872592069257037;0.0357380925199891;0.0138114885639561
415;SNV;STAB1;0.3106;0.3021;38;433;0.00290931623490763;0.0087476084201647;0.0357380925199891;0.012688441243484
476;SNV;FASN;0.3105;0.3021;36;435;0.00292213776252424;0.0087476084201647;0.0357380925199891;0.0127077548030567
638;SNV;SOCS4;0.3077;0.302;33;438;0.00330365363750229;0.00876934553013249;0.0357657607798919;0.013195165671482
104;SNV;PCDH10;0.306;0.3018;54;417;0.00355779612610722;0.00881296830049178;0.0357886465246016;0.013605012386234
900;SNV;SYNPO2;0.31;0.3018;30;441;0.002987052593706;0.00881296830049178;0.0357886465246016;0.0128631634215448
699;SNV;PCDH20;0.3031;0.3017;32;439;0.00403446775376885;0.00883485416297696;0.0357886465246016;0.0143274560646472
1007;SNV;ZEB1;0.3031;0.3017;29;442;0.00403446775376885;0.00883485416297696;0.0357886465246016;0.0143274560646472
930;SNV;CDK5RAP2;0.3108;0.3013;29;442;0.00288383295487957;0.00892289649431902;0.035939664782406;0.0126465335085544
1643;SNV;LTBP1;0.3035;0.3013;24;447;0.00396531104538859;0.00892289649431902;0.035939664782406;0.0142942585195757
285;SNV;USP34;0.3093;0.3012;43;428;0.00308023184147607;0.00894503230628814;0.035939664782406;0.012983532858585
1550;SNV;ULK2;0.3076;0.3011;25;446;0.00331811488224296;0.00896721841404744;0.035939664782406;0.013195165671482
80;SNV;AHNAK2;0.3079;0.3009;58;413;0.00327490985407208;0.00901174192663801;0.035939664782406;0.0131768258438254
749;SNV;KIDINS220;0.3126;0.3009;31;440;0.0026638138519032;0.00901174192663801;0.035939664782406;0.0123621652544634
1254;SNV;CADPS2;0.303;0.3008;26;445;0.00405193389424182;0.00903407953676756;0.035939664782406;0.0143468474181303
1578;SNV;BRD1;0.3097;0.3008;24;447;0.00302665480472494;0.00903407953676756;0.035939664782406;0.0129404382527596
1805;SNV;LARGE;0.3052;0.3008;23;448;0.00368368662448622;0.00903407953676756;0.035939664782406;0.0137777950430705
1859;SNV;PPARGC1A;0.3003;0.3007;23;448;0.00455137942830433;0.00905646785328419;0.035939664782406;0.0151924536782784
295;SNV;GON4L;0.305;0.3006;42;429;0.00371581052159991;0.00907890697928549;0.035939664782406;0.0138114885639561
1033;SNV;CAND1;0.3033;0.3006;28;443;0.00399974836227448;0.00907890697928549;0.035939664782406;0.0143104769249042
378;SNV;MYH14;0.3126;0.3004;39;432;0.0026638138519032;0.00912393807303205;0.035939664782406;0.0123621652544634
1209;SNV;SMTN;0.3157;0.3003;27;444;0.00232175371938408;0.00914653024787262;0.035939664782406;0.0120630247594086
2010;SNV;LUZP1;0.3031;0.3003;22;449;0.00403446775376885;0.00914653024787262;0.035939664782406;0.0143274560646472
24;SNV;USH2A;0.298;0.3002;84;387;0.00502201206738987;0.00916917364638906;0.035939664782406;0.0157721535362179
677;SNV;KIF13B;0.3104;0.3002;32;439;0.0029350128248064;0.00916917364638906;0.035939664782406;0.0127077548030567
982;SNV;RAD51AP2;0.3135;0.3001;29;442;0.00255986982209624;0.00919186837258053;0.035939664782406;0.0123558390414901
1571;SNV;ARHGAP28;0.3151;0.3001;24;447;0.00238451944081184;0.00919186837258053;0.035939664782406;0.0120741556430939
472;SNV;DOPEY1;0.3126;0.3;36;435;0.0026638138519032;0.00921461453062723;0.035939664782406;0.0123621652544634
2225;SNV;MATR3;0.3087;0.3;21;450;0.00316228419921927;0.00921461453062723;0.035939664782406;0.0130654396885711
1586;SNV;CCDC178;0.3004;0.2998;24;447;0.00453189046393949;0.0092602615599139;0.035939664782406;0.0151924536782784
2207;SNV;ITGAM;0.3091;0.2998;21;450;0.00310735598121783;0.0092602615599139;0.035939664782406;0.012983532858585
152;SNV;COL6A6;0.2995;0.2997;49;422;0.00471015687057161;0.00928316264042161;0.035939664782406;0.0153399952472278
303;SNV;RUNX1T1;0.2958;0.2997;42;429;0.00551469026685791;0.00928316264042161;0.035939664782406;0.0165371514903267
1772;SNV;DNMT1;0.2806;0.2995;23;448;0.0103718726135528;0.00932912045769997;0.035939664782406;0.0228047613122273
635;SNV;REV3L;0.3091;0.2994;33;438;0.00310735598121783;0.00935217740483114;0.035939664782406;0.012983532858585
1189;SNV;PCNX;0.3005;0.2994;27;444;0.00451248011908142;0.00935217740483114;0.035939664782406;0.0151924536782784
1478;SNV;MYOCD;0.3053;0.2994;25;446;0.00366772323477711;0.00935217740483114;0.035939664782406;0.0137777950430705
1748;SNV;CAMSAP2;0.3116;0.2994;23;448;0.00278400009951779;0.00935217740483114;0.035939664782406;0.0125779966688989
746;SNV;KIAA0430;0.3119;0.2993;31;440;0.00274741465728924;0.00937528651816835;0.035939664782406;0.0125779966688989
2106;SNV;ZNF286B;0.3104;0.2993;22;449;0.0029350128248064;0.00937528651816835;0.035939664782406;0.0127077548030567
46;SNV;ANK2;0.2928;0.2992;67;404;0.00625995214030241;0.00939844790334885;0.035939664782406;0.0174577428416835
822;SNV;CACNA1S;0.3079;0.2992;30;441;0.00327490985407208;0.00939844790334885;0.035939664782406;0.0131768258438254
2230;SNV;MGAT4C;0.3019;0.2992;21;450;0.00424882826317854;0.00939844790334885;0.035939664782406;0.0147812220509414
237;SNV;BRCA2;0.3053;0.2991;44;427;0.00366772323477711;0.00942166166619306;0.0359649357685569;0.0137777950430705
314;SNV;DLC1;0.3087;0.299;41;430;0.00316228419921927;0.0094449279127048;0.0359649357685569;0.0130654396885711
1179;SNV;MYO9B;0.3072;0.2988;27;444;0.00337656090965994;0.00949161828166532;0.0359649357685569;0.0132800868332169
2154;SNV;CPEB4;0.3165;0.2988;21;450;0.00224050515208431;0.00949161828166532;0.0359649357685569;0.0118469188351361
199;SNV;SPEG;0.307;0.2987;47;424;0.00340614779446106;0.00951504261704132;0.0359649357685569;0.0132800868332169
957;SNV;KIAA0195;0.3048;0.2986;29;442;0.00374819891252551;0.00953851986193984;0.0359649357685569;0.0139059321255819
1177;SNV;MYEF2;0.3094;0.2986;27;444;0.00306675400105521;0.00953851986193984;0.0359649357685569;0.012983532858585
1115;SNV;ZNF623;0.2992;0.2985;28;443;0.00477103156349106;0.00956205012328569;0.0359649357685569;0.0153676084053149
1251;SNV;C5orf24;0.3173;0.2985;26;445;0.00216196432894408;0.00956205012328569;0.0359649357685569;0.0116633974833015
1415;SNV;CTBP1;0.3088;0.2985;25;446;0.00314846660465228;0.00956205012328569;0.0359649357685569;0.0130654396885711
75;SNV;DNAH8;0.3015;0.2984;59;412;0.00432263686066442;0.00958563350818859;0.0359649357685569;0.0149718142186308
707;SNV;PRRC2C;0.3028;0.2984;32;439;0.0040870804059968;0.00958563350818859;0.0359649357685569;0.0144285408719828
777;SNV;PKD1;0.3086;0.2982;31;440;0.00317615918789113;0.00963296007803056;0.0360293811995196;0.0130654396885711
990;SNV;SMCHD1;0.3132;0.2982;29;442;0.00259408246313495;0.00963296007803056;0.0360293811995196;0.0123558390414901
2009;SNV;LRP5;0.3091;0.2979;22;449;0.00310735598121783;0.00970435104787433;0.0361792707408008;0.012983532858585
343;SNV;NPR3;0.2966;0.2977;40;431;0.00533050427440306;0.00975221369826864;0.0361792707408008;0.0163122986118096
673;SNV;IFI16;0.3071;0.2977;32;439;0.00339132383549344;0.00975221369826864;0.0361792707408008;0.0132800868332169
1227;SNV;ZGRF1;0.3118;0.2976;27;444;0.00275955884368551;0.0097762259498485;0.0361792707408008;0.0125779966688989
1854;SNV;PITPNM3;0.3061;0.2976;23;448;0.00354234882233552;0.0097762259498485;0.0361792707408008;0.01356765013683
1542;SNV;TNS3;0.3011;0.2975;25;446;0.00439765274485015;0.00980029229733442;0.0361792707408008;0.0150363234051386
1659;SNV;PABPC4L;0.3119;0.2975;24;447;0.00274741465728924;0.00980029229733442;0.0361792707408008;0.0125779966688989
2034;SNV;PAM;0.2992;0.2975;22;449;0.00477103156349106;0.00980029229733442;0.0361792707408008;0.0153676084053149
76;SNV;FAT2;0.3035;0.2974;59;412;0.00396531104538859;0.00982441284969863;0.0361792707408008;0.0142942585195757
510;SNV;CR1;0.297;0.2974;35;436;0.00524059343718133;0.00982441284969863;0.0361792707408008;0.0161197146909439
47;SNV;ATM;0.3056;0.2972;67;404;0.00362022431502451;0.0098728170058895;0.0362792499698672;0.0136904052419439
350;SNV;PTPRQ;0.2907;0.2971;40;431;0.00683669722663626;0.00989710082859977;0.0362792499698672;0.0179521017722804
599;SNV;CDH2;0.2985;0.2971;33;438;0.00491596406019282;0.00989710082859977;0.0362792499698672;0.015603126299948
1630;SNV;INTS3;0.2906;0.297;24;447;0.00686536444345787;0.00992143929395597;0.036290900310491;0.0179521017722804
1228;SNV;ZNF271P;0.3091;0.2969;27;444;0.00310735598121783;0.00994583251187096;0.036290900310491;0.012983532858585
1272;SNV;DSPP;0.3039;0.2969;26;445;0.00389727416537694;0.00994583251187096;0.036290900310491;0.0141989104500776
1025;SNV;ARFGEF2;0.3033;0.2968;28;443;0.00399974836227448;0.00997028059244625;0.0363246503291868;0.0143104769249042
1987;SNV;HDAC5;0.3101;0.2967;22;449;0.00297396130437402;0.00999478364597249;0.0363584975858055;0.0128299052661623
